;Dato;PO;Temperature;% Dødfisk;Tetthet;BA_ano;% FORFORBRUK;% Rensefisk;badebehandling;ferskvannsbehandling;fôrbehandling;mekanisk behandling;termisk behandling
1141;2018-12-31;8.0;7.37;0.829852187012528;6.404721630703495;-0.701451984568215;17.41721341089254;0.029858879334100207;0.0;0.0;1.0;0.0;0.0
1142;2019-01-31;8.0;6.02;1.1680764416479092;6.275791693499161;-0.6591330254036281;14.61029563445794;0.03373309602774817;0.0;0.0;0.0;0.0;0.0
1143;2019-02-28;8.0;5.14;0.8625129694091651;6.04456008522814;-0.8962087014637993;12.474561274316956;0.18943859462712667;0.0;0.0;0.0;0.0;0.0
1144;2019-03-31;8.0;4.75;0.8208958182283439;5.751004660537159;-0.8124378602886916;13.612381513545182;0.7163496234570136;0.0;0.0;0.0;0.0;0.0
1145;2019-04-30;8.0;5.84;1.1939415312491988;5.476526430566153;-0.5188063775987815;13.671401479590184;0.45739064248547817;0.0;0.0;1.0;0.0;0.0
1146;2019-05-31;8.0;7.93;0.7853918106797549;5.675943791622157;0.5762561275253061;17.390010657489544;0.7649791932990807;0.0;0.0;1.0;0.0;0.0
1147;2019-06-30;8.0;11.37;0.39995763904602155;5.739898149320921;1.8175469991480453;21.20348904727218;0.466652951258731;0.0;0.0;1.0;0.0;0.0
1148;2019-07-31;8.0;14.23;0.3035741191533806;5.994919390126659;1.3702470685729793;27.071969924645767;1.2086992540297457;0.0;0.0;1.0;0.0;0.0
1149;2019-08-31;8.0;15.13;0.4169622196809155;6.60755534854265;-0.048123334094703915;29.851201879651455;0.42188115712894003;0.0;0.0;1.0;0.0;0.0
1150;2019-09-30;8.0;13.11;0.5442547310083239;6.941799542881123;0.08283328640007212;26.568480936989513;1.014166370638378;1.0;0.0;1.0;0.0;0.0
1151;2019-10-31;8.0;10.86;0.8114975702932521;6.923955751564169;-0.7401627839626553;25.239025962592184;0.5565428603620709;1.0;0.0;1.0;0.0;0.0
1152;2019-11-30;8.0;8.42;1.0575926016180337;6.857127655424996;-0.7918797406680892;20.454011562612653;0.9634823713318589;0.0;0.0;1.0;0.0;0.0
1153;2019-12-31;8.0;6.97;0.8353929585079285;6.85671101800702;-0.7735592395095933;16.611362647849827;0.5233919558809389;1.0;0.0;1.0;0.0;0.0
1154;2020-01-31;8.0;6.48;0.8521869328218113;6.933272301159773;-0.15530525842959964;14.479118287735314;0.7427849058445549;0.0;0.0;0.0;0.0;0.0
1155;2020-02-29;8.0;5.76;0.7367938222828256;6.907221605600489;-0.8250804045995926;12.937657691396687;0.0;1.0;0.0;1.0;0.0;0.0
1156;2020-03-31;8.0;5.44;0.5252301962225441;6.653734787044102;-0.8964324633100099;13.36169475468512;0.0;0.0;0.0;1.0;0.0;0.0
1157;2020-04-30;8.0;5.67;0.6588880793369916;6.470719267968869;-0.5185266752910181;13.21534861658979;0.41646884717836885;0.0;0.0;0.0;0.0;0.0
1158;2020-05-31;8.0;7.07;0.690468012279159;6.349392465054174;0.25412297967431574;15.463047185699022;0.8673381819906046;0.0;0.0;1.0;0.0;0.0
1159;2020-06-30;8.0;11.93;0.4212014087490732;6.013113547153976;3.447372346484782;20.042570331921645;1.256238274329542;0.0;0.0;1.0;0.0;0.0
