Dato;PO;BEHFISK_STK;BIOMASSE_KG;FORFORBRUK_KG;DØDFISK_STK;% Dødfisk;% FORFORBRUK;Tetthet
2018-07-31;7;29445908.0;49748533.335;11391405.0;129934.0;0.4412633497326691;22.89797153072191;9192.264104767184
2018-08-31;7;33588556.0;54597774.588;13485985.0;212133.0;0.6315633217456565;24.700612986090597;10088.280596452329
2018-09-30;7;36583453.0;53939699.325;13804721.0;277949.0;0.7597669908305266;25.592877180911128;9966.685019401331
2018-10-31;7;36588436.0;55126397.779;15122580.0;249346.0;0.6814885446319706;27.432556106107185;10185.956721914265
2018-11-30;7;35268683.0;60836065.701000005;14451551.0;228867.0;0.6489241461043498;23.75490727988094;11240.95818569845
2018-12-31;7;33458955.0;62896710.347;12053752.0;185690.0;0.5549784803500288;19.16436000150035;11621.7129244272
2019-01-31;7;31588342.0;63219421.47;10108237.0;258583.0;0.8186026351113965;15.9891323978609;11681.341735033258
2019-02-28;7;30474293.0;65904735.003;9526959.0;127424.0;0.4181360335414508;14.455651782176698;12177.5194018847
2019-03-31;7;27797441.0;62991964.212;9057928.0;101338.0;0.36455873761904917;14.379497628483954;11639.31341685144
2019-04-30;7;29376539.0;64329446.395;9131880.0;120033.0;0.40860157147851894;14.195489797825733;11886.446118810052
2019-05-31;7;33995641.0;64975266.335;11643902.0;270801.0;0.7965756550964872;17.920514461558767;12005.77722376201
2019-06-30;7;31759858.0;64158659.066999994;12155283.0;113160.0;0.35629882224284504;18.945662482294722;11854.88896286031
2019-07-31;7;33545468.0;64456743.828;14200309.0;201783.0;0.6015208969509682;22.030757616135407;11909.96744789357
2019-08-31;7;35813368.0;66663498.025000006;17504102.0;256314.0;0.7156936482488885;26.257401004423215;12317.719516814488
2019-09-30;7;33508969.0;63632646.942;16363901.0;247167.0;0.7376144577888982;25.716203531365583;11757.69529600887
2019-10-31;7;30155195.0;58387325.620000005;14988966.0;161273.0;0.5348100053738668;25.671609104948757;10788.493277900961
2019-11-30;7;28068309.0;56199493.512;11762739.0;145356.0;0.5178651838270699;20.930329198586744;10384.237529933482
2019-12-31;7;26846926.0;58141111.04;9796165.0;140806.0;0.5244771785045335;16.848947026933182;10742.999083518107
2020-01-31;7;26596091.0;59380761.874;8596241.0;219248.0;0.8243617454910949;14.4764747516045;10972.05503954176
2020-03-31;7;22130659.0;48466327.687;7915618.0;227883.0;1.0297162863518885;16.332200886190076;8955.345101071693
2020-04-30;7;24669764.0;48997207.128;6298116.0;277958.0;1.1267152778599747;12.854030605350303;9053.438124168515
2020-05-31;7;26850438.0;49635964.159;8234492.0;322387.0;1.2006768753641932;16.589769413206653;9171.464183111604
2020-06-30;7;27307747.0;53540905.5;9705939.0;188761.0;0.6912360803694279;18.128081528243857;9892.998059866963
2020-07-31;7;28225481.0;50181419.672000006;11939919.0;167224.0;0.5924575740622453;23.793505799641974;9272.250493717665
2020-08-31;7;31725581.0;47882451.182000004;13039232.0;234578.0;0.73939701845019;27.23175543047745;8847.459567997044
2020-09-30;7;32628237.0;48310430.643999994;13354815.0;172735.0;0.5294034121426787;27.643750680700315;8926.539291204728
2020-10-31;7;31922445.0;47897078.149000004;13263534.0;162794.0;0.5099672033266875;27.691739272152066;8850.162259608278
2020-11-30;7;31312378.0;48806780.109;11239577.0;104437.0;0.3335326368377387;23.028720548453915;9018.252052660753
2020-12-31;7;31991815.0;51897276.71;10469139.0;169675.0;0.530370033710185;20.172809950127345;9589.297248706578
2021-01-31;7;31720481.0;51966766.042;9191616.0;164976.0;0.5200929960677456;17.687488947400063;9602.137110495196
2021-02-28;7;31595394.0;58835097.27900001;8294839.0;162883.0;0.515527674698407;14.098453786292412;10871.230095898005
2021-03-31;7;30310970.0;59830359.975;9253600.0;218356.0;0.720386051650607;15.466395328168842;11055.129337583148
2021-04-30;7;31106103.0;59522228.6;8319571.0;430889.0;1.3852233434705723;13.97725050906444;10998.194493717665
2021-05-31;7;33037362.0;62901907.857;10688303.0;472632.0;1.4305984842252235;16.992017196519036;11622.673292128604
2021-06-30;7;34749273.0;65887648.791;12936693.0;226731.0;0.6524769597338052;19.63447358857204;12174.362304323726
2021-07-31;7;34236077.0;67325994.855;15917540.0;299417.0;0.8745657395267571;23.642487622027133;12440.132087028825
2021-08-31;7;36064225.0;70309792.092;17904189.0;248900.0;0.6901576285085843;25.46471617576747;12991.461953436807
2021-09-30;7;35907912.0;73295216.111;20644859.0;238368.0;0.663831414090577;28.166720961344787;13543.092407797487
2021-10-31;7;34405406.0;73557859.18200001;19396588.0;247503.0;0.7193724149047972;26.369157851655427;13591.622169623062
2021-11-30;7;30819164.0;64045550.633;14852563.0;188773.0;0.6125182370294016;23.190624256023014;11833.989400036955
2021-12-31;7;30417708.0;62098795.83399999;10859219.0;215114.0;0.7071998981645823;17.487004142605965;11474.278609386547
2022-01-31;7;30219408.0;60344047.05099999;8282641.0;203368.0;0.6729714890510098;13.72569690760034;11150.045648743531
2022-03-31;7;26451885.0;52487254.03;7234528.0;274991.0;1.0395894281258218;13.783399672356605;9698.310057280118
2022-04-30;7;27434868.0;49010646.554000005;6544654.0;311676.0;1.1360579536960047;13.353535323777233;9055.921388396158
2022-05-31;7;29633776.0;48604112.923;8035191.0;378654.0;1.2777784376854304;16.531915751100275;8980.804309497413
2022-06-30;7;29177997.0;52832864.048;10776036.0;140775.0;0.4824697185348261;20.396463818826284;9762.170001478196
2022-07-31;7;29484613.0;55656655.203;13628500.0;134193.0;0.4551289175815196;24.48673918741958;10283.934812084257
2022-08-31;7;36237272.0;58584519.243;15614762.0;213896.0;0.5902651833173315;26.653392742257143;10824.92964578714
2022-09-30;7;38171844.0;56272849.482999995;15274619.0;243821.0;0.6387456681422046;27.143852035810728;10397.791848300072
2022-10-31;7;37356745.0;57990095.592;17096793.0;235290.0;0.6298460960664534;29.482263868450286;10715.095268292684
2022-11-30;7;34803647.0;56298155.141;15741293.0;152630.0;0.4385459949067982;27.960584073448903;10402.467690502588
2022-12-31;7;39320927.0;61051150.116000004;11662790.0;204039.0;0.5189068914880872;19.103309237975306;11280.700317073171
2023-01-31;7;37858488.0;62040942.54800001;9819729.0;391433.0;1.033937224328663;15.827820462918732;11463.588793052477
2023-02-28;7;36690744.0;64321420.459;9184188.0;246722.0;0.6724366232529927;14.278583921905486;11884.963129896527
2023-03-31;7;35368639.0;67411771.461;10024621.0;326220.0;0.922342530624376;14.87072774196356;12455.981422949002
2023-04-30;7;36169595.0;65776875.597;9122983.0;253997.0;0.7022389938289328;13.869590060638403;12153.894234478936
2023-05-31;7;37525895.0;70251490.739;12729954.0;310217.0;0.8266744870442131;18.120546434088677;12980.689345713228
2023-06-30;7;39383681.0;73339876.157;14000143.0;255517.0;0.6487890250786867;19.089400928397588;13551.344448817445
2023-07-31;7;38668472.0;75340764.64299999;19183333.0;276529.0;0.7151278178253333;25.46208960169128;13921.057768477456
2023-08-31;7;40064651.0;79616925.787;21252304.0;473128.0;1.1809113225521422;26.693198449857903;14711.183626570584
2023-09-30;7;39798827.0;78291880.275;21308917.0;514251.0;1.292126021704107;27.21727582113559;14466.348905210643
2023-10-31;7;36346059.0;74165640.42;17541820.0;361984.0;0.9959374137372088;23.65221941138872;13703.924689578715
2023-11-30;7;36678890.0;72854859.998;13677108.0;221952.0;0.6051219107230345;18.77308940045381;13461.725794161122
2023-12-31;7;40343628.0;74883819.169;9932749.0;337061.0;0.8354751833424598;13.264212629945437;13836.62586271249
2024-01-31;7;37736225.0;71040240.894;8680125.0;395827.0;1.048931100023916;12.218602992846998;13126.430320399111
2024-03-31;7;30986915.0;54127810.202999994;6908536.0;368925.0;1.1905831864837142;12.763376116806402;10001.443126940132
2024-04-30;7;32123039.0;50324465.96599999;6566207.0;267597.0;0.8330376213782263;13.047743029079003;9298.681811899482
2024-05-31;7;35399221.0;54081108.744;9223021.0;232304.0;0.6562404296975913;17.05405309580167;9992.813884700665
2024-06-30;7;36022923.0;57585984.057;11725462.0;175639.0;0.48757564731768155;20.36165951144267;10640.425731152993
2024-07-31;7;36863386.0;65461195.516;16551791.0;157000.0;0.4258968506040113;25.284889573937612;12095.564581670362
2024-08-31;7;41849984.0;70536698.926;17662727.0;209652.0;0.500960765002921;25.040478600409067;13033.388567257945
2024-09-30;7;45185578.0;72635290.60100001;19272757.0;248508.0;0.5499719401619694;26.533599357189964;13421.154952143386
2024-10-31;7;43610442.0;74776624.461;19855989.0;261382.0;0.5993564568779193;26.55373807406345;13816.81900609756
2024-11-30;7;44546430.0;76132155.352;16502594.0;290723.0;0.6526291781406501;21.676246946772505;14067.286650406504
2024-12-31;7;45446137.0;77816809.074;15633498.0;500775.0;1.1019088377082522;20.090129865301087;14378.567825942351
2025-01-31;7;43329328.0;79094403.182;12630691.0;468241.0;1.0806560397151785;15.969133708406874;14614.63473429416
2025-02-28;7;40260013.0;76435048.68;10189065.0;554117.0;1.3763458049554032;13.330357180325928;14123.253636363637
2012-01-31;8;23858931.56;46501342.482;6182440.78;108518.12;0.45483226994930864;13.29518773010292;3548.0957181443614
2012-02-29;8;22507411.78;43970732.824;5242736.5;107355.32;0.47697763318746195;11.923241127194546;3355.007845566916
2012-03-31;8;21746367.54;42799040.786;5231630.62;145214.72;0.6677654083280522;12.223709980227687;3265.6066523729587
2012-04-30;8;23223863.02;41391422.974;4229220.64;202391.04;0.8714787881142093;10.217625624169969;3158.2041030062564
2012-05-31;8;28236862.16;42192800.11;6467305.88;321790.08;1.1396099119534746;15.327984545086407;3219.3499244620784
2012-06-30;8;27757431.74;41253099.364;8269640.94;150982.74;0.5439362741273556;20.046108213669395;3147.64988280177
2012-07-31;8;26642693.0;43454928.576000005;11572456.159999998;137637.52;0.5166051344734557;26.630940469181724;3315.6515012971163
2012-08-31;8;26835762.64;47093150.606;14365950.16;156273.47999999998;0.5823329193077107;30.50539192034792;3593.2512289027927
2012-09-30;8;27877268.92;48931138.177999996;12874361.24;221337.46000000002;0.7939711046845259;26.311182856949078;3733.491391576377
2012-10-31;8;27741774.6;49430295.195999995;11347349.48;152147.06;0.5484402573150458;22.95626484730816;3771.5775367007473
2012-11-30;8;26335366.48;49832712.802;9470145.3;116793.76000000001;0.4434863668546146;19.003872692276797;3802.2823746375707
2012-12-31;8;24783442.68;48163531.717999995;7253824.5600000005;103901.88;0.4192390917660839;15.060823617486202;3674.92230413551
2013-01-31;8;23840703.720000003;46487535.029999994;5822492.62;151637.1;0.6360428860696399;12.524846964336886;3547.042196703799
2013-02-28;8;22992054.66;45094370.74600001;4508500.880000001;133700.72;0.5815083600710264;9.997923921357561;3440.742464977873
2013-03-31;8;21951829.36;42286384.648;3882190.2;148920.1;0.6783949417507681;9.180709659423709;3226.4905118266443
2013-04-30;8;22060065.900000002;38737346.414;3317696.4;179443.6;0.8134318402013476;8.564593879360196;2955.6955908744085
2013-06-30;8;27607131.1;40185381.102;8218302.18;143984.28;0.5215474200432221;20.45097484366269;3066.181985502823
2013-07-31;8;26756837.4;45426465.514000006;12487704.399999999;112225.78;0.41942841869644876;27.48993182432696;3466.08160491378
2013-08-31;8;26763561.88;50056006.464;14996821.6;130147.34;0.4862855720906757;29.960084032643774;3819.319888905845
2013-09-30;8;27901466.18;51147400.739999995;13853385.259999998;234279.12;0.8396659820261818;27.08521852443992;3902.5942881123146
2013-10-31;8;28198161.439999998;50681328.08;13132690.180000002;231155.52000000002;0.8197538711587716;25.912285012086056;3867.0325103006257
2013-11-30;8;26611581.64;49067911.76800001;9809788.16;119758.51999999999;0.450024059524483;19.992267464696805;3743.927343811995
2013-12-31;8;25105664.82;47698645.760000005;7322750.48;113376.04000000001;0.4515954499228434;15.35211401356146;3639.4510727910883
2014-01-31;8;24222480.22;47409300.46;6519354.48;113661.8;0.46924096528377723;13.75121424856392;3617.373757057836
2014-02-28;8;23300054.16;47370023.204;5516865.840000001;93642.26;0.40189717739265546;11.646322857477823;3614.3768658629638
2014-03-31;8;22420474.24;46674122.744;5763813.4;150239.84;0.6701010798958016;12.349055667556051;3561.2790129711584
2014-04-30;8;22788399.740000002;42283784.992;4750434.72;93037.3;0.40826605229630747;11.234648745136633;3226.292155653899
