Dato;index;PO;BEHFISK_STK;BIOMASSE_KG;FORFORBRUK_KG;DØDFISK_STK;% Dødfisk;Tetthet;% FORFORBRUK
2023-08-31;232;3.0;47543204;76851103.664;22624145;822004;1.7289621456728073;13527.742239746523;29.438933107473396
2023-09-30;233;3.0;47157510;83567983.813;23387169;856301;1.815831667108802;14710.083403098046;27.985800222646805
2023-10-31;234;3.0;49533232;89907919.00999999;21414795;917152;1.851589252241808;15826.072700228831;23.818585988647058
2023-11-30;235;3.0;46520413;90877724.24000001;17746728;1104603;2.3744479654555084;15996.783002992433;19.52813865929616
2024-01-31;236;3.0;40651735;82186906.503;12593872;754954;1.8571261472603813;14466.978789473686;15.323453011995646
2024-02-29;237;3.0;38450475;82177672.272;11968773;593087;1.5424698914642798;14465.353330751628;14.564507206269534
2024-03-31;238;3.0;43998682;84302856.89;12432370;551111;1.2525625199409383;14839.439691955642;14.747270091002962
2024-04-30;239;3.0;52405298;86876962.16;13850259;574080;1.0954617603739225;15292.547466995247;15.942384097745252
2024-05-31;240;3.0;49785107;83088558.786;18515003;457054;0.9180536661295113;14625.692446048231;22.28345667625142
2024-06-30;241;3.0;48891794;83120379.479;18648880;712399;1.4570931882761349;14631.293694596023;22.435989966469723
2024-07-31;242;3.0;46104160;85179927.705;22821210;376067;0.8156899507549861;14993.82638707974;26.791769627975874
